jul 19/10:11:17.012 DEBUG2 : 		

StartSession()

jul 19/10:11:17.012 INFO   : Debug Log(info): Loading the CMSIS-DAP driver
jul 19/10:11:18.998 DEBUG2 : 		->   LowLevelSoftwareReset(): WaitForCpuResetToComplete(core 0)
jul 19/10:11:18.999 DEBUG2 : 		  LowLevelSoftwareReset(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:19.000 DEBUG2 : 		<-   LowLevelSoftwareReset(): WaitForCpuResetToComplete(core 0)
jul 19/10:11:19.003 DEBUG2 : 		ISigPcSampler::GetSample(SIGAPIARM_SAMPLE_CYCLE) = 0x0
jul 19/10:11:19.004 DEBUG2 : 		<-   LowLevelReset(disabled, delay 200)
jul 19/10:11:19.093 DEBUG2 : 		ClearCodeBreak(<9:0xf000000000000000>, 1 units)
jul 19/10:11:19.119 DEBUG2 : 		<Call to _ExecDevicePreload: macro undefined
jul 19/10:11:19.119 DEBUG2 : 		<Call to execUserPreload: macro undefined
jul 19/10:11:19.267 INFO   : Debug Log(info): Loaded debugee: C:\IAR_Examples\MAX32672_1.4.1_1\Hello_World\IAR\Rev_A\Exe\Hello_World.out
jul 19/10:11:19.325 DEBUG2 : 		-------------- Download, suppress = 1
jul 19/10:11:19.325 DEBUG2 : 		StopDownload()
jul 19/10:11:19.325 DEBUG2 : 		VectorCatchGet(core 0, allowed mask 0xff, current mask 0x0)
jul 19/10:11:19.325 DEBUG2 : 		VectorCatchSet(core 0, mask 0x1fe)
jul 19/10:11:19.374 INFO   : Debug Log(info): LowLevelReset(software, delay 200)
jul 19/10:11:19.374 INFO   : Debug Log(info): LowLevelReset(disabled, delay 200)
jul 19/10:11:19.374 INFO   : Debug Log(info): Download completed.
jul 19/10:11:19.374 DEBUG2 : 		============== Finished loading application. Now online.
jul 19/10:11:19.400 DEBUG2 : 		<Call to _ExecDevicePreReset: macro undefined
jul 19/10:11:19.400 DEBUG2 : 		<Call to execUserPreReset: macro undefined
jul 19/10:11:19.400 DEBUG2 : 		-> LowLevelReset(1)
jul 19/10:11:19.400 DEBUG2 : 		->   LowLevelReset(software, delay 200)
jul 19/10:11:19.400 INFO   : Debug Log(info): LowLevelReset(software, delay 200)
jul 19/10:11:19.400 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagInitDelay', '200,r:300')
jul 19/10:11:19.403 DEBUG2 : 		LowLevelSoftwareReset(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:19.403 DEBUG2 : 		  core 0: IsigEmu::ParamSet('ResetStyle', 'SOFTWARE')
jul 19/10:11:19.403 DEBUG2 : 		Core 0: LowLevelSoftwareReset()
jul 19/10:11:19.467 DEBUG2 : 		->   LowLevelSoftwareReset(): WaitForCpuResetToComplete(core 0)
jul 19/10:11:19.501 DEBUG2 : 		  LowLevelSoftwareReset(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:19.501 DEBUG2 : 		<-   LowLevelSoftwareReset(): WaitForCpuResetToComplete(core 0)
jul 19/10:11:19.702 DEBUG2 : 		->   LowLevelReset(): WaitForCpuResetToComplete(core 0)
jul 19/10:11:19.704 DEBUG2 : 		  LowLevelReset(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:19.704 DEBUG2 : 		<-   LowLevelReset(): WaitForCpuResetToComplete(core 0)
jul 19/10:11:19.708 DEBUG2 : 		ISigPcSampler::GetSample(SIGAPIARM_SAMPLE_CYCLE) = 0x0
jul 19/10:11:19.708 DEBUG2 : 		<-   LowLevelReset(software, delay 200)
jul 19/10:11:19.708 DEBUG2 : 		<- LowLevelReset(1)
jul 19/10:11:19.710 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10000200, 4 bytes [by 4] = [ 00 20 03 20 ])
jul 19/10:11:19.712 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10000204, 4 bytes [by 4] = [ f1 03 00 10 ])
jul 19/10:11:19.712 DEBUG2 : 		CpuRegSet(Core 0, SP_Main ->17) = 0x20032000 (537075712)
jul 19/10:11:19.716 DEBUG2 : 		CpuRegSet(Core 0, PC ->15) = 0x100003f0 (268436464)
jul 19/10:11:19.720 DEBUG2 : 		CpuRegGet(Core 0, XPSR ->16) = 0x1000000 (16777216)
jul 19/10:11:19.720 DEBUG2 : 		CpuRegSet(Core 0, XPSR ->16) = 0x1000000 (16777216)
jul 19/10:11:19.724 DEBUG2 : 		CpuRegGet(Core 0, PC -> 15) = 0x62100003f0 (421175231472)
jul 19/10:11:19.724 INFO   : Debug Log(info): Target reset
jul 19/10:11:19.724 DEBUG2 : 		<Call to _ExecDeviceReset: macro undefined
jul 19/10:11:19.724 DEBUG2 : 		<Call to execUserReset: macro undefined
jul 19/10:11:19.727 DEBUG2 : 		SetCodeBreak(<0:0x1000178c>, 1 units, 'Stack window trigger')
jul 19/10:11:19.727 DEBUG2 : 		  SetCodeBreak(): BreakSetAttr(bank 0, count 1, addr 0x1000178c, attr <0x20009: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_HW>)
jul 19/10:11:19.727 DEBUG2 : 		  SetBreakpoint(): BreakGetAttr(bank 0, count 1, addr 0x1000178c, attr <0x20409: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_HW | SIGEMU_BRK_ATTR_LITTLEENDIAN>)
jul 19/10:11:19.739 DEBUG2 : 		-> SetupTrace()
jul 19/10:11:19.739 DEBUG2 : 		-> AcquireXTrace()
jul 19/10:11:19.739 DEBUG2 : 		  ISigProbe::AcquireInterface('ISigXTrace')
jul 19/10:11:19.739 DEBUG2 : 		  ISigAPI::CreateInstance('ISigXTrace')
jul 19/10:11:19.743 DEBUG2 : 		<- AcquireXTrace()
jul 19/10:11:19.743 DEBUG2 : 		  ISigXTrace::LinkAttach('SigTerminalLog',...)
jul 19/10:11:19.743 DEBUG2 : 		  ISigXTrace::LinkAttach('ISigXTraceClient',...)
jul 19/10:11:19.743 DEBUG2 : 		  ISigXTrace::LinkAttach('SigEmu',...)
jul 19/10:11:19.743 DEBUG2 : 		  ISigXTrace::LinkAttach('SigProbe',...)
jul 19/10:11:19.744 DEBUG2 : 		-> SetupLowLevelTrace()
jul 19/10:11:19.744 DEBUG2 : 		  ISigXTrace::Init('SWO,ETB')
jul 19/10:11:19.747 INFO   : Debug Log(info): INFO: Configuring trace using 'SWO,ETB' setting ...

jul 19/10:11:19.747 INFO   : INFO: Configuring trace using 'SWO,ETB' setting ...

jul 19/10:11:19.748 INFO   : Debug Log(info): INFO: SWO trace mode is not supported by the probe (use I-jet/I-jet-Trace probe) - trace is disabled.

jul 19/10:11:19.748 INFO   : INFO: SWO trace mode is not supported by the probe (use I-jet/I-jet-Trace probe) - trace is disabled.

jul 19/10:11:19.748 DEBUG2 : 		  ISigXTrace::TraceInfo(...) -> NULL (no trace)
jul 19/10:11:19.748 DEBUG2 : 		  ISigAPI::ReleaseInstance(sigXTrace)
jul 19/10:11:19.751 DEBUG2 : 		<- SetupLowLevelTrace()
jul 19/10:11:19.751 DEBUG2 : 		-> AcquireSWOInterface()
jul 19/10:11:19.751 DEBUG2 : 		  ISigProbe::AcquireInterface('ISigSWO')
jul 19/10:11:19.751 ERROR  :   ConnectToHardware(): Failed to create sigSWO object.
jul 19/10:11:19.751 DEBUG2 : 		<- AcquireSWOInterface()
jul 19/10:11:19.751 DEBUG2 : 		-> CreateSigChanInterface()
jul 19/10:11:19.751 DEBUG2 : 		<- CreateSigChanInterface()
jul 19/10:11:19.751 DEBUG2 : 		-> SetupSigChanInterface()
jul 19/10:11:19.751 DEBUG2 : 		<- SetupSigChanInterface()
jul 19/10:11:19.763 DEBUG2 : 		<- SetupTrace()
jul 19/10:11:19.763 DEBUG2 : 		-> SetupProfiling()
jul 19/10:11:19.763 DEBUG2 : 		<- SetupProfiling()
jul 19/10:11:19.767 DEBUG2 : 		SetCodeBreak(<9:0xf000000000000000>, 1 units, 'C-SPY Terminal I/O && library support module')
jul 19/10:11:19.772 DEBUG2 : 		<Call to _ExecDeviceSetup: macro undefined
jul 19/10:11:19.772 DEBUG2 : 		<Call to execUserSetup: macro undefined
jul 19/10:11:19.836 DEBUG2 : 		PlDriver::Go(core 0): mIsExecuting[0] = true
jul 19/10:11:19.836 DEBUG2 : 		-> LowLevelGo(core 0)
jul 19/10:11:19.836 DEBUG2 : 		CpuRegGet(Core 0, PC ->15) = 0x100003f0 (268436464)
jul 19/10:11:19.839 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x100003f0, 2 bytes [by 2] = [ 02 48 ])
jul 19/10:11:19.839 DEBUG2 : 		<Call to _ExecDeviceExecutionStarted: macro undefined
jul 19/10:11:19.839 DEBUG2 : 		<Call to execUserExecutionStarted: macro undefined
jul 19/10:11:19.841 DEBUG2 : 		  LowLevelGo(core 0) [multi = false], CpuStatus(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:11:19.841 DEBUG2 : 		Core 0:   LowLevelGo(core 0) [multi = false], CpuGo()
jul 19/10:11:19.935 DEBUG2 : 		CpuRegGet(Core 0, PC -> 15) = 0x7900611000178c (34058889062258572)
jul 19/10:11:19.935 DEBUG2 : 		LowLevelGo(core 0): errNo == ERR_OK, cpu status = not running, not sleeping, cpu power = 1 --> Exit LowLevelGo loop
jul 19/10:11:19.935 DEBUG2 : 		LowLevelGo(core 0): Setting single mIsExecuting[0] = false [multi == false]
jul 19/10:11:19.935 DEBUG2 : 		LowLevelGo(core 0): CPU core 0 is now stopped, after 2 polls in 0.002s
jul 19/10:11:19.935 DEBUG2 : 		<Call to _ExecDeviceExecutionStopped: macro undefined
jul 19/10:11:19.935 DEBUG2 : 		<Call to execUserExecutionStopped: macro undefined
jul 19/10:11:19.938 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x1000178c, 2 bytes [by 2] = [ 10 b5 ])
jul 19/10:11:19.940 DEBUG2 : 		  GetStopBreaks(): BreakGetAttr(bank 0, count 1, addr 0x1000178c, attr <0x20409: CPUMODE(THUMB) | SIGEMU_BRK_ATTR_SET | SIGEMU_BRK_ATTR_HW | SIGEMU_BRK_ATTR_LITTLEENDIAN>)
jul 19/10:11:19.940 DEBUG2 : 		LowLevelGo(core 0): Stopped at breakpoint
jul 19/10:11:19.940 DEBUG2 : 		<- LowLevelGo(core 0)
jul 19/10:11:19.940 DEBUG2 : 		PlDriver::Go(core 0): goStatus = 0
jul 19/10:11:19.944 DEBUG2 : 		ISigPcSampler::GetSample(SIGAPIARM_SAMPLE_CYCLE) = 0x0
jul 19/10:11:19.944 DEBUG2 : 		ClearCodeBreak(<0:0x1000178c>, 1 units)
jul 19/10:11:19.944 DEBUG2 : 		  ClearCodeBreak(): BreakClr(bank 0, count 1, addr 0x1000178c)
jul 19/10:11:19.958 DEBUG2 : 		CpuRegGet(Core 0, LR -> 14) = 0x10001705 (268441349)
jul 19/10:11:19.958 DEBUG2 : 		CpuRegGet(Core 0, XPSR -> 16) = 0x61000000 (1627389952)
jul 19/10:11:19.958 DEBUG2 : 		CpuRegGet(Core 0, SP_Main -> 17) = 0x20031ff8 (537075704)
jul 19/10:11:19.958 DEBUG2 : 		CpuRegGet(Core 0, SP_Proc -> 18) = 0x20031ff8 (537075704)
jul 19/10:11:25.740 DEBUG2 : 		CpuRegGet(Core 0, CTRL_PRI -> 20) = 0x0 (0)
jul 19/10:11:25.789 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10001600, 512 bytes [by 0] = [ bc f1 01 0c 80 18 59 41 ... ])
jul 19/10:11:25.820 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x10001800, 512 bytes [by 0] = [ 00 f0 bc f8 fb e7 70 b5 ... ])
jul 19/10:12:13.698 DEBUG2 : 		PlDriver::Go(core 0): mIsExecuting[0] = true
jul 19/10:12:13.698 DEBUG2 : 		-> LowLevelGo(core 0)
jul 19/10:12:13.698 DEBUG2 : 		CpuRegGet(Core 0, PC ->15) = 0x1000178c (268441484)
jul 19/10:12:13.700 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x1000178c, 2 bytes [by 2] = [ 10 b5 ])
jul 19/10:12:13.700 DEBUG2 : 		<Call to _ExecDeviceExecutionStarted: macro undefined
jul 19/10:12:13.700 DEBUG2 : 		<Call to execUserExecutionStarted: macro undefined
jul 19/10:12:13.702 DEBUG2 : 		  LowLevelGo(core 0) [multi = false], CpuStatus(): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:12:13.702 DEBUG2 : 		Core 0:   LowLevelGo(core 0) [multi = false], CpuGo()
jul 19/10:12:17.364 INFO   : Debug Log(info): CPU status - IN RESET
jul 19/10:12:18.015 INFO   : Debug Log(minor): CPU status OK
jul 19/10:12:21.062 DEBUG2 : 		LowLevelStop(0): mStoppedByLowLevelStop[0] = true
jul 19/10:12:21.065 DEBUG2 : 		LowLevelGo(core 0): Stop requested by stop flag
jul 19/10:12:21.065 DEBUG2 : 		Core 0: LowLevelGo(core 0) [multi = false]: ISigEmu::CpuStop()
jul 19/10:12:21.068 DEBUG2 : 		-> WaitForCpuToStop(core 0)
jul 19/10:12:21.102 DEBUG2 : 		LowLevelGo(core 0): Core 0: CpuStatus(status = <0x1: CPU_STATUS_MPOWER>) = 0
jul 19/10:12:21.102 DEBUG2 : 		<- WaitForCpuToStop(core 0)
jul 19/10:12:21.102 DEBUG2 : 		LowLevelGo(core 0): WaitForCpuToStop(0) returned waitRes = 0
jul 19/10:12:21.102 DEBUG2 : 		LowLevelGo(core 0): Setting single mIsExecuting[0] = false [multi == false]
jul 19/10:12:21.102 DEBUG2 : 		LowLevelGo(core 0): CPU core 0 is now stopped, after 1179 polls in 7.309s
jul 19/10:12:21.102 DEBUG2 : 		<Call to _ExecDeviceExecutionStopped: macro undefined
jul 19/10:12:21.102 DEBUG2 : 		<Call to execUserExecutionStopped: macro undefined
jul 19/10:12:21.102 DEBUG2 : 		CpuRegGet(Core 0, PC -> 15) = 0x62100013e6 (421175235558)
jul 19/10:12:21.105 DEBUG2 : 		  ReadPostCache(): MemRead(core 0, 0:0x100013e6, 2 bytes [by 2] = [ 08 48 ])
jul 19/10:12:21.107 DEBUG2 : 		LowLevelGo(core 0): Stopped at breakpoint
jul 19/10:12:21.107 DEBUG2 : 		<- LowLevelGo(core 0)
jul 19/10:12:21.107 DEBUG2 : 		PlDriver::Go(core 0): goStatus = 1
jul 19/10:12:21.112 DEBUG2 : 		ISigPcSampler::GetSample(SIGAPIARM_SAMPLE_CYCLE) = 0x0
jul 19/10:12:21.124 DEBUG2 : 		CpuRegGet(Core 0, LR -> 14) = 0x1ea100012c7 (2104802415303)
jul 19/10:12:21.124 DEBUG2 : 		CpuRegGet(Core 0, XPSR -> 16) = 0x1000000 (16777216)
jul 19/10:12:21.124 DEBUG2 : 		CpuRegGet(Core 0, SP_Main -> 17) = 0x20031fe8 (537075688)
jul 19/10:12:21.124 DEBUG2 : 		CpuRegGet(Core 0, SP_Proc -> 18) = 0x20031ff8 (537075704)
jul 19/10:12:21.167 DEBUG2 : 		-> AboutToStopSession()
jul 19/10:12:21.181 DEBUG2 : 		<- AboutToStopSession()
jul 19/10:12:21.181 DEBUG2 : 		<Call to _ExecDeviceExit: macro undefined
jul 19/10:12:21.181 DEBUG2 : 		<Call to execUserExit: macro undefined
jul 19/10:12:21.231 DEBUG2 : 		-> PrepareStopSession()
jul 19/10:12:21.231 DEBUG2 : 		<- PrepareStopSession()
jul 19/10:12:21.277 DEBUG2 : 		ClearCodeBreak(<9:0xf000000000000000>, 1 units)
jul 19/10:12:21.327 DEBUG2 : 		StopGui()
jul 19/10:12:21.391 DEBUG2 : 		-> StopSession()
jul 19/10:12:21.554 DEBUG2 : 		-> TerminateHardware()
jul 19/10:12:21.554 DEBUG2 : 		  ISigEmu::ReleaseInterface(pcSampler)
jul 19/10:12:21.554 DEBUG2 : 		  ISigEmu::ReleaseInterface(sigWpt)
jul 19/10:12:21.554 DEBUG2 : 		  ISigEmu::ReleaseInterface(sigVect)
jul 19/10:12:21.554 DEBUG2 : 		  ISigEmu::IceTerm()
jul 19/10:12:21.560 DEBUG2 : 		Core 0: sigEmu->LinkAttach(ISigProbe)
jul 19/10:12:21.560 DEBUG2 : 		  ISigApi::ReleaseInstance(sigEmu)
jul 19/10:12:21.562 DEBUG2 : 		  SigAPITerm()
jul 19/10:12:21.562 DEBUG2 : 		<- TerminateHardware()
jul 19/10:12:21.562 DEBUG2 : 		<- StopSession()
jul 19/10:12:21.562 DEBUG2 : 		-> ~TdJetDriver()
jul 19/10:12:21.562 DEBUG2 : 		-> TerminateHardware()
jul 19/10:12:21.563 DEBUG2 : 		<- TerminateHardware()
